,TSS,HRV,Pulse,Stress,Sleep Qualilty,Sleep Hours,Mood,yesterday_TSS,ctl,atl,tsb
1/1/2020,75,8.7,47,4,5,8,2,,50.58820783,35.99049451,14.59771332
1/2/2020,42.2,10.1,41,3,5,9.25,2,75,50.39084745,36.81711692,13.57373053
1/3/2020,73.98,10,37,3,5,8.75,2,42.2,50.94586042,41.76431797,9.181542454
1/4/2020,197,10.5,38,3,5,8.5,2,73.98,54.38226799,62.429618,-8.04735001
1/5/2020,74.73,9.6,45,3,5,8.83,2,197,54.8610158,64.06707068,-9.206054881
1/6/2020,66.99,9.5,39,3,5,8.17,2,74.73,55.14639034,64.45617717,-9.30978683
1/7/2020,150.44,10.1,43,3,5,7.75,2,66.99,57.38848825,75.90252425,-18.514036
1/8/2020,146.77,9.5,36,3,5,9,2,150.44,59.49148447,85.33655146,-25.845067
1/9/2020,189.72,10,38,3,5,9.25,2,146.77,62.55554179,99.23229537,-36.67675358
1/10/2020,112.01,9.9,42,3,5,5.83,2,189.72,63.71912178,100.9332902,-37.21416847
1/11/2020,132.53,10,38,3,5,9,2,112.01,65.33812568,105.1395106,-39.80138493
1/12/2020,244.41,9.9,38,3,5,9.25,2,132.53,69.55138485,123.6794907,-54.12810581
1/13/2020,98.62,9.9,35,3,6,9.5,2,244.41,70.23532034,120.3435186,-50.10819829
1/14/2020,147.11,10.6,37,3,5,6.83,2,98.62,72.04405189,123.9067288,-51.86267696
1/15/2020,164.29,10.5,37,3,5,7.42,2,147.11,74.21444346,129.2826347,-55.06819126
1/16/2020,194.12,9.7,37,3,5,7.25,2,164.29,77.03561897,137.913921,-60.87830199
1/17/2020,237,10.2,39,3,5,8.5,2,194.12,80.79931105,151.1044679,-70.30515686
1/18/2020,182.29,9.9,36,3,5,7.67,2,237,83.18721578,155.2559514,-72.06873566
1/19/2020,193.68,10.4,36,3,5,7.17,2,182.29,85.78692463,160.3710415,-74.58411685
1/20/2020,182.38,9.4,36,3,5,8.67,2,193.68,88.05959677,163.3009203,-75.24132349
1/21/2020,107.57,9.4,43,4,4,7.25,2,182.38,88.51864365,155.8819031,-67.36325945
1/22/2020,172.36,9.5,37,4,5,7.83,2,107.57,90.49128936,158.075502,-67.58421262
1/23/2020,146.6,10.5,36,3,5,8.75,2,172.36,91.81143268,156.5478591,-64.73642637
1/24/2020,266.66,9.9,39,3,6,7.83,2,146.6,95.92532456,171.2062185,-75.28089395
1/25/2020,152.38,9.9,41,3,5,8.75,2,266.66,97.25360786,168.7000328,-71.44642491
1/26/2020,131.15,10.4,36,3,6,9.67,3,152.38,98.05113279,163.7012935,-65.65016075
1/27/2020,85.5,9.9,40,4,5,6,2,131.15,97.75582581,153.2909731,-55.5351473
